City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
Yellowknife,62.46,-114.35,8.6,84.0,90.0,3.36
Port Elizabeth,-33.92,25.57,59.0,93.0,0.0,4.7
Qaanaaq,77.48,-69.36,-11.31,68.0,2.0,9.69
Mataura,-46.19,168.86,55.0,60.0,0.0,10.0
Deputatsky,69.3,139.9,-5.17,92.0,100.0,3.8
Palmer,42.16,-72.33,51.01,93.0,40.0,2.77
Hilo,19.73,-155.09,75.2,88.0,90.0,8.05
Punta Arenas,-53.15,-70.92,51.8,71.0,20.0,34.45
Rondonópolis,-16.47,-54.64,76.41,75.0,99.0,4.25
Nyurba,63.28,118.33,-0.36,87.0,0.0,4.27
Jamestown,42.1,-79.24,53.6,54.0,1.0,4.7
Rikitea,-23.12,-134.97,71.82,73.0,100.0,17.74
Cabo San Lucas,22.89,-109.91,75.2,83.0,5.0,5.82
Namatanai,-3.67,152.43,84.61,69.0,47.0,2.46
Salalah,17.02,54.09,73.4,53.0,0.0,5.82
Severo-Kuril'sk,50.68,156.12,36.55,78.0,30.0,6.35
Hualmay,-11.1,-77.61,60.39,86.0,30.0,5.93
Chokurdakh,70.63,147.92,0.54,94.0,100.0,3.13
Yaan,7.38,8.57,72.25,85.0,52.0,3.36
Hobart,-42.88,147.33,66.0,44.0,20.0,13.87
Luena,-11.78,19.92,61.72,94.0,99.0,3.06
Bluff,-46.6,168.33,55.0,60.0,31.0,10.0
Vestmanna,62.16,-7.17,42.8,87.0,94.0,3.36
Kirakira,-10.45,161.92,84.27,73.0,52.0,8.61
Nikolskoye,59.7,30.79,46.4,81.0,75.0,13.42
Khatanga,71.97,102.5,-3.05,87.0,0.0,13.13
Vostok,46.49,135.88,28.02,94.0,97.0,4.88
Castro,-24.79,-50.01,58.24,63.0,1.0,3.62
New Norfolk,-42.78,147.06,66.0,41.0,0.0,3.0
Ocampo,21.65,-101.5,50.77,48.0,50.0,3.83
Tuatapere,-46.13,167.68,55.0,60.0,0.0,10.0
Aksarka,66.56,67.8,24.98,99.0,98.0,4.79
Tāybād,34.74,60.78,61.02,25.0,99.0,2.44
Maniitsoq,65.42,-52.9,20.79,83.0,99.0,12.66
Talnakh,69.49,88.4,19.4,85.0,75.0,20.13
Prado,-17.34,-39.22,74.73,94.0,99.0,5.19
Tuktoyaktuk,69.45,-133.04,24.8,85.0,75.0,16.11
Keti Bandar,24.14,67.45,81.55,43.0,0.0,7.54
Filingué,14.35,3.32,73.92,20.0,16.0,5.35
Albany,42.6,-73.97,51.01,93.0,75.0,2.98
Bredasdorp,-34.53,20.04,59.0,77.0,50.0,8.05
Norman Wells,65.28,-126.83,28.4,92.0,75.0,5.82
Tecpan,14.76,-90.99,66.99,88.0,75.0,9.17
Tiksi,71.69,128.87,-5.94,92.0,70.0,2.1
Hermanus,-34.42,19.23,57.0,92.0,74.0,1.01
Hasaki,35.73,140.83,72.0,68.0,75.0,6.93
Atherton,53.52,-2.49,50.0,80.0,100.0,5.1
Vila Velha,-20.33,-40.29,73.4,94.0,90.0,3.36
Guerrero Negro,27.98,-114.06,62.76,69.0,15.0,13.87
Busselton,-33.65,115.33,75.99,53.0,84.0,5.99
Kaitangata,-46.28,169.85,55.99,44.0,0.0,10.0
Airai,-8.93,125.41,82.36,37.0,67.0,6.06
Ushuaia,-54.8,-68.3,55.4,47.0,40.0,18.34
Barrow,71.29,-156.79,30.2,92.0,90.0,14.99
Geraldton,-28.77,114.6,75.2,57.0,40.0,8.05
Mitú,1.2,-70.17,72.72,98.0,100.0,2.26
Grand Gaube,-20.01,57.66,75.99,75.0,26.0,10.0
Avarua,-21.21,-159.78,77.0,73.0,59.0,2.24
Fortuna,40.6,-124.16,50.0,93.0,90.0,10.29
Deniliquin,-35.53,144.97,78.49,30.0,0.0,7.25
Cidreira,-30.18,-50.21,67.86,85.0,73.0,14.18
Saint-Philippe,-21.36,55.77,80.6,65.0,0.0,17.22
Saskylakh,71.92,114.08,-9.99,89.0,6.0,8.61
Jiazi,22.88,116.07,71.22,77.0,100.0,10.58
Kalakamati,-20.59,27.31,69.8,73.0,0.0,4.7
Carnarvon,-24.87,113.63,77.0,61.0,31.0,16.11
Skjervøy,70.03,20.97,37.2,79.0,100.0,34.02
Puerto Ayora,-0.74,-90.35,68.0,81.0,6.0,7.0
Flinders,-34.58,150.86,66.0,65.0,82.0,5.26
